|----------------|-------------|---------|-------------|------|
| Device         |  Value      |  Legend |  Footprint  |  Qty |
|----------------|-------------|---------|-------------|------|
| Capacitor      |  0.1uF      | C1 C3   |  0603       |  2   |
|----------------|-------------|---------|-------------|------
| Capacitor      |  1uF        | C2 C4   |  0603       |  2   |
|----------------|-------------|---------|-------------|------
| Resistor       |  1K         | R1 R2   |  0603       |  1   |
|----------------|-------------|---------|-------------|------
| Resistor       |  10K        | R3 R4   |  0603       |  1   |
|----------------|-------------|---------|-------------|------
| LED            |  GREEN      |  D1     |  0603       |  1   |
|----------------|-------------|---------|-------------|------
| LED            |  BLUE       |  D2     |  0603       |  1   |
|----------------|-------------|---------|-------------|------
| Transistor NPN |  BC849      |  T1 T2  |  SOT23-3    |  2   |
|----------------|-------------|---------|-------------|------
| IC             |  FT232RL    |  U1     |  SSOP28     |  1   |
|----------------|-------------|---------|-------------|------
| CONNECTOR      |  2x3 Shroud |  J1     |  2X3 2.54mm |  1   |
|----------------|-------------|---------|-------------|------
| USB CONNECTOR  |  USB Type-B |  JP1    |  8x12mm     |  1   |
|----------------|-------------|---------|-------------|------

// F1 - Convert to table from CSV
Device, Value, Legend, Footprint, Qty
Capacitor, 0.1uF, "C1 C3", 0603, 2
Capacitor, 1uF, "C2 C4", 0603, 2
Resistor, 1K, "R1 R2", 0603, 1
Resistor, 10K, "R3 R4", 0603, 1
LED, GREEN, D1, 0603, 1
LED, BLUE, D2, 0603, 1
Transistor NPN, BC849, T1 T2, SOT23-3, 2
IC, FT232RL, U1, SSOP28, 1
CONNECTOR, 2x3 Shroud, J1, 2X3 2.54mm, 1
USB CONNECTOR, USB Type-B, JP1, 8x12mm, 1
